Read,DNF,Author,Series Title,#In Series,Title,Page Count,Edition,Digitally Signed,Signed,Sprayed Edges,Hidden Cover,Reversable Dust Jacket,Started Reading,Finished Reading,Rating,Publisher,Gifted
TRUE,FALSE,Ruby Dixon,Ice Planet Barbarians,2,Barbarians Alien,314,Paperback Special Edition,FALSE,FALSE,FALSE,FALSE,FALSE,11/06/2023,12/06/2023,4/5,Berkley,
TRUE,FALSE,Ruby Dixon,Ice Planet Barbarians,3,Barbarian Lover,311,Paperback Special Edition,FALSE,TRUE,FALSE,FALSE,FALSE,12/06/2023,13/06/2023,2/5,Berkley,
TRUE,FALSE,Ruby Dixon,Ice Planet Barbarians,4,Barbarian Mine,310,Paperback Special Edition,FALSE,TRUE,FALSE,FALSE,FALSE,14/06/2023,14/06/2023,4/5,Barkley,
FALSE,FALSE,Ruby Dixon,Royal Artifcatual Guild,1,Bull Moon Rising ,397,Hardback First Edition ,FALSE,TRUE,TRUE,TRUE,FALSE,,,,ACE,
FALSE,FALSE,Saara El-Arifi,Faebound,1,Faebound,377,Fairyloot,FALSE,TRUE,TRUE,TRUE,TRUE,,,,Harper Voyager,
FALSE,FALSE,Samantha Shannon,The Bone Season,1,The Bone Season,562,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Bloomsbury,Fiona
TRUE,FALSE,Sarah J. Maas,A Court of Thorns and Roses,1,A Court of Thorns and Roses,416,Hardback,FALSE,FALSE,FALSE,FALSE,TRUE,02/03/2023,04/03/2023,5/5,Bloomsbury,Milton
TRUE,FALSE,Sarah J. Maas,A Court of Thorns and Roses,2,A Court of Mist and Fury ,624,Hardback,FALSE,FALSE,FALSE,FALSE,TRUE,05/03/2023,09/05/2023,5/5,Bloomsbury,Milton
TRUE,FALSE,Sarah J. Maas,A Court of Thorns and Roses,3,A Court of Wings and Ruin,699,Hardback,FALSE,FALSE,FALSE,FALSE,TRUE,10/03/2023,15/05/2023,5/5,Bloomsbury,Milton
TRUE,FALSE,Sarah J. Maas,A Court of Thorns and Roses,3.5,A Court of Frost and Starlight,229,Hardback,FALSE,FALSE,FALSE,FALSE,TRUE,19/03/2023,21/03/2023,4/5,Bloomsbury,Milton
TRUE,FALSE,Sarah J. Maas,A Court of Thorns and Roses,4,A Court of Silver Flames,751,Hardback,FALSE,FALSE,FALSE,FALSE,TRUE,25/03/2023,28/03/2023,5/5,Bloomsbury,Milton
TRUE,FALSE,Sarah J. Maas,A Court of Thorns and Roses,1,A Court of Thorns and Roses,416,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,02/03/2023,04/03/2023,5/5,Bloomsbury,Milton
TRUE,FALSE,Sarah J. Maas,A Court of Thorns and Roses,2,A Court of Mist and Fury ,626,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,05/03/2023,09/05/2023,5/5,Bloomsbury,
TRUE,FALSE,Sarah J. Maas,A Court of Thorns and Roses,3,A Court of Wings and Ruin,699,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,10/03/2023,15/05/2023,5/5,Bloomsbury,
TRUE,FALSE,Sarah J. Maas,A Court of Thorns and Roses,3.5,A Court of Frost and Starlight,229,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,19/03/2023,21/03/2023,4/5,Bloomsbury,
TRUE,FALSE,Sarah J. Maas,A Court of Thorns and Roses,4,A Court of Silver Flames,751,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,25/03/2023,28/03/2023,5/5,Bloomsbury,
TRUE,FALSE,Sarah J. Maas,Throne of Glass,0.1-0.5,The Assassins Blade,435,Hardback (original cover),FALSE,FALSE,FALSE,FALSE,FALSE,23/07/2023,26/07/2023,4/5,Bloomsbury,Clare
TRUE,FALSE,Sarah J. Maas,Throne of Glass,1,Throne of Glass,404,Hardback (original cover),FALSE,FALSE,FALSE,FALSE,FALSE,29/06/2023,04/07/2023,4/5,Bloomsbury,Clare
TRUE,FALSE,Sarah J. Maas,Throne of Glass,2,Crown of Midnight,418,Hardback (original cover),FALSE,FALSE,FALSE,FALSE,FALSE,10/07/2023,13/07/2023,4/5,Bloomsbury,Clare
TRUE,FALSE,Sarah J. Maas,Throne of Glass,3,Heir of Fire,562,Hardback (original cover),FALSE,FALSE,FALSE,FALSE,FALSE,17/07/2023,21/07/2023,5/5,Bloomsbury,Clare
TRUE,FALSE,Sarah J. Maas,Throne of Glass,4,Queen of Shadows,645,Hardback (original cover),FALSE,FALSE,FALSE,FALSE,FALSE,26/07/2023,02/08/2023,5/5,Bloomsbury,Clare
TRUE,FALSE,Sarah J. Maas,Throne of Glass,5,Empire of Storms,689,Hardback (original cover),FALSE,FALSE,FALSE,FALSE,FALSE,03/08/2023,15/08/2023,5/5,Bloomsbury,Clare
TRUE,FALSE,Sarah J. Maas,Throne of Glass,6,Tower of Dawn,660,Hardback (original cover),FALSE,FALSE,FALSE,FALSE,FALSE,03/08/2023,15/08/2023,5/5,Bloomsbury,Clare
TRUE,FALSE,Sarah J. Maas,Throne of Glass,7,Kingdom of Ash,980,Hardback (original cover),FALSE,FALSE,FALSE,FALSE,FALSE,11/09/2023,22/09/2023,5/5,Bloomsbury,Clare
TRUE,FALSE,Sarah J. Maas,Throne of Glass,1,Throne of Glass,417,Hardback Collectors Edition,FALSE,FALSE,FALSE,TRUE,FALSE,29/06/2023,04/07/2023,4/5,Bloomsbury,Olivia
TRUE,FALSE,Sarah J. Maas,Crescent City,1,House of Earth and Blood,799,Hardback (original cover),FALSE,FALSE,FALSE,FALSE,FALSE,03/04/2023,08/04/2023,5/5,Bloomsbury,Milton
TRUE,FALSE,Sarah J. Maas,Crescent City,2,House of Sky and Breath,801,Hardback 1st edition,FALSE,TRUE,FALSE,FALSE,FALSE,10/04/2023,16/04/2023,5/5,Bloomsbury,Milton
TRUE,FALSE,Sarah J. Maas,Crescent City,3,House of Flame and Shadow,835,Hardback (Waterstones Edition),FALSE,FALSE,FALSE,FALSE,FALSE,30/01/2024,05/02/2023,5/5,Bloomsbury,
TRUE,FALSE,Sarah J. Maas,Crescent City,1,House of Earth and Blood,799,Fairyloot,FALSE,FALSE,TRUE,TRUE,FALSE,03/04/2023,08/04/2023,5/5,Bloomsbury,Milton
TRUE,FALSE,Sarah J. Maas,Crescent City,2,House of Sky and Breath,801,Fairyloot,FALSE,FALSE,TRUE,TRUE,FALSE,10/04/2023,16/04/2023,5/5,Bloomsbury,Milton
FALSE,FALSE,Sarah Rees Brennan,Time of Iron,1,Long Live Evil,430,Fairyloot,FALSE,FALSE,TRUE,TRUE,TRUE,,,,Orbit,
TRUE,FALSE,Sarah A. Parker,Moonfall,1,When the Moon Hatched,541,Hardback Waterstones Exclusive,FALSE,FALSE,TRUE,FALSE,FALSE,17/09/2024,23/09/2024,5/5,Harper Voyager,
TRUE,FALSE,Scarlett St. Clair,Hades x Persephone Saga,1,A Touch of Darkness,389,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,29/12/2024,01/01/2025,3/5,Bloom,
TRUE,FALSE,Sophie Jordan,A Fire in the Sky,1,A Fire in the Sky,321,Fairyloot,FALSE,TRUE,TRUE,TRUE,TRUE,25/12/2024,29/12/2025,3.5/5,HQ,
FALSE,FALSE,Sophie Kim,Fates Thread,1,The God and the Gumiho,419,Fairyloot,TRUE,FALSE,TRUE,TRUE,TRUE,,,,Hodderscape,
